date,지역,latitude,longitude,순이동률,전입률,전출률
2017-01-01,강원특별자치도,37.8225,128.1555,-0.6,16.8,17.4
2017-02-01,강원특별자치도,37.8225,128.1555,-0.6,16.8,17.4
2017-03-01,강원특별자치도,37.8225,128.1555,-0.6,16.8,17.4
2017-04-01,강원특별자치도,37.8225,128.1555,0.2,12.3,12.1
2017-05-01,강원특별자치도,37.8225,128.1555,0.2,12.3,12.1
2017-06-01,강원특별자치도,37.8225,128.1555,0.2,12.3,12.1
2017-07-01,강원특별자치도,37.8225,128.1555,0.1,11.8,11.8
2017-08-01,강원특별자치도,37.8225,128.1555,0.1,11.8,11.8
2017-09-01,강원특별자치도,37.8225,128.1555,0.1,11.8,11.8
2017-10-01,강원특별자치도,37.8225,128.1555,0.8,14.2,13.4
2017-11-01,강원특별자치도,37.8225,128.1555,0.8,14.2,13.4
2017-12-01,강원특별자치도,37.8225,128.1555,0.8,14.2,13.4
2018-01-01,강원특별자치도,37.8225,128.1555,-0.8,16.5,17.3
2018-02-01,강원특별자치도,37.8225,128.1555,-0.8,16.5,17.3
2018-03-01,강원특별자치도,37.8225,128.1555,-0.8,16.5,17.3
2018-04-01,강원특별자치도,37.8225,128.1555,-0.2,12.7,12.9
2018-05-01,강원특별자치도,37.8225,128.1555,-0.2,12.7,12.9
2018-06-01,강원특별자치도,37.8225,128.1555,-0.2,12.7,12.9
2018-07-01,강원특별자치도,37.8225,128.1555,-0.1,12.3,12.5
2018-08-01,강원특별자치도,37.8225,128.1555,-0.1,12.3,12.5
2018-09-01,강원특별자치도,37.8225,128.1555,-0.1,12.3,12.5
2018-10-01,강원특별자치도,37.8225,128.1555,0.1,14.9,14.9
2018-11-01,강원특별자치도,37.8225,128.1555,0.1,14.9,14.9
2018-12-01,강원특별자치도,37.8225,128.1555,0.1,14.9,14.9
2019-01-01,강원특별자치도,37.8225,128.1555,-0.5,16.9,17.3
2019-02-01,강원특별자치도,37.8225,128.1555,-0.5,16.9,17.3
2019-03-01,강원특별자치도,37.8225,128.1555,-0.5,16.9,17.3
2019-04-01,강원특별자치도,37.8225,128.1555,0.3,13.3,13.1
2019-05-01,강원특별자치도,37.8225,128.1555,0.3,13.3,13.1
2019-06-01,강원특별자치도,37.8225,128.1555,0.3,13.3,13.1
2019-07-01,강원특별자치도,37.8225,128.1555,0.2,12.9,12.7
2019-08-01,강원특별자치도,37.8225,128.1555,0.2,12.9,12.7
2019-09-01,강원특별자치도,37.8225,128.1555,0.2,12.9,12.7
2019-10-01,강원특별자치도,37.8225,128.1555,0.5,14.0,13.5
2019-11-01,강원특별자치도,37.8225,128.1555,0.5,14.0,13.5
2019-12-01,강원특별자치도,37.8225,128.1555,0.5,14.0,13.5
2020-01-01,강원특별자치도,37.8225,128.1555,-0.4,17.8,18.2
2020-02-01,강원특별자치도,37.8225,128.1555,-0.4,17.8,18.2
2020-03-01,강원특별자치도,37.8225,128.1555,-0.4,17.8,18.2
2020-04-01,강원특별자치도,37.8225,128.1555,0.4,13.7,13.3
2020-05-01,강원특별자치도,37.8225,128.1555,0.4,13.7,13.3
2020-06-01,강원특별자치도,37.8225,128.1555,0.4,13.7,13.3
2020-07-01,강원특별자치도,37.8225,128.1555,0.7,12.9,12.2
2020-08-01,강원특별자치도,37.8225,128.1555,0.7,12.9,12.2
2020-09-01,강원특별자치도,37.8225,128.1555,0.7,12.9,12.2
2020-10-01,강원특별자치도,37.8225,128.1555,0.8,14.2,13.4
2020-11-01,강원특별자치도,37.8225,128.1555,0.8,14.2,13.4
2020-12-01,강원특별자치도,37.8225,128.1555,0.8,14.2,13.4
2021-01-01,강원특별자치도,37.8225,128.1555,-0.4,15.2,15.6
2021-02-01,강원특별자치도,37.8225,128.1555,-0.4,15.2,15.6
2021-03-01,강원특별자치도,37.8225,128.1555,-0.4,15.2,15.6
2021-04-01,강원특별자치도,37.8225,128.1555,0.6,13.2,12.6
2021-05-01,강원특별자치도,37.8225,128.1555,0.6,13.2,12.6
2021-06-01,강원특별자치도,37.8225,128.1555,0.6,13.2,12.6
2021-07-01,강원특별자치도,37.8225,128.1555,0.6,13.7,13.1
2021-08-01,강원특별자치도,37.8225,128.1555,0.6,13.7,13.1
2021-09-01,강원특별자치도,37.8225,128.1555,0.6,13.7,13.1
2021-10-01,강원특별자치도,37.8225,128.1555,0.9,14.7,13.8
2021-11-01,강원특별자치도,37.8225,128.1555,0.9,14.7,13.8
2021-12-01,강원특별자치도,37.8225,128.1555,0.9,14.7,13.8
2022-01-01,강원특별자치도,37.8225,128.1555,0.6,15.7,15.1
2022-02-01,강원특별자치도,37.8225,128.1555,0.6,15.7,15.1
2022-03-01,강원특별자치도,37.8225,128.1555,0.6,15.7,15.1
2022-04-01,강원특별자치도,37.8225,128.1555,0.5,12.5,12.0
2022-05-01,강원특별자치도,37.8225,128.1555,0.5,12.5,12.0
2022-06-01,강원특별자치도,37.8225,128.1555,0.5,12.5,12.0
2022-07-01,강원특별자치도,37.8225,128.1555,0.5,11.6,11.1
2022-08-01,강원특별자치도,37.8225,128.1555,0.5,11.6,11.1
2022-09-01,강원특별자치도,37.8225,128.1555,0.5,11.6,11.1
2022-10-01,강원특별자치도,37.8225,128.1555,0.3,11.1,10.8
2022-11-01,강원특별자치도,37.8225,128.1555,0.3,11.1,10.8
2022-12-01,강원특별자치도,37.8225,128.1555,0.3,11.1,10.8
2023-01-01,강원특별자치도,37.8225,128.1555,-0.3,13.3,13.6
2023-02-01,강원특별자치도,37.8225,128.1555,-0.3,13.3,13.6
