지역,latitude,longitude,날짜,연도,분기,지표,값
행정구역(시도)별,,,2017-01-01,2017,Q1,전입률,총전입률(%)
전국,,,2017-01-01,2017,Q1,전입률,15.8
서울특별시,,,2017-01-01,2017,Q1,전입률,17.4
부산광역시,35.1796,129.0756,2017-01-01,2017,Q1,전입률,14.8
대구광역시,35.8714,128.6014,2017-01-01,2017,Q1,전입률,14.3
인천광역시,37.4563,126.7052,2017-01-01,2017,Q1,전입률,14.6
광주광역시,35.1595,126.8526,2017-01-01,2017,Q1,전입률,16.9
대전광역시,36.3504,127.3845,2017-01-01,2017,Q1,전입률,16.7
울산광역시,35.5384,129.3114,2017-01-01,2017,Q1,전입률,13.0
세종특별자치시,36.48,127.289,2017-01-01,2017,Q1,전입률,32.6
경기도,37.4138,127.5183,2017-01-01,2017,Q1,전입률,16.2
강원특별자치도,37.8225,128.1555,2017-01-01,2017,Q1,전입률,16.8
충청북도,36.6297,127.921,2017-01-01,2017,Q1,전입률,14.6
충청남도,36.6353,126.7404,2017-01-01,2017,Q1,전입률,16.7
전북특별자치도,35.8175,127.14,2017-01-01,2017,Q1,전입률,15.2
전라남도,34.8006,126.2994,2017-01-01,2017,Q1,전입률,14.3
경상북도,36.1584,128.7364,2017-01-01,2017,Q1,전입률,13.1
경상남도,35.2354,128.6922,2017-01-01,2017,Q1,전입률,13.8
제주특별자치도,33.4996,126.5312,2017-01-01,2017,Q1,전입률,22.0
행정구역(시도)별,,,2017-01-01,2017,Q1,전출률,총전출률(%)
전국,,,2017-01-01,2017,Q1,전출률,15.8
서울특별시,,,2017-01-01,2017,Q1,전출률,17.8
부산광역시,35.1796,129.0756,2017-01-01,2017,Q1,전출률,15.4
대구광역시,35.8714,128.6014,2017-01-01,2017,Q1,전출률,14.6
인천광역시,37.4563,126.7052,2017-01-01,2017,Q1,전출률,14.6
광주광역시,35.1595,126.8526,2017-01-01,2017,Q1,전출률,17.5
대전광역시,36.3504,127.3845,2017-01-01,2017,Q1,전출률,17.6
울산광역시,35.5384,129.3114,2017-01-01,2017,Q1,전출률,14.6
세종특별자치시,36.48,127.289,2017-01-01,2017,Q1,전출률,20.2
경기도,37.4138,127.5183,2017-01-01,2017,Q1,전출률,15.4
강원특별자치도,37.8225,128.1555,2017-01-01,2017,Q1,전출률,17.4
충청북도,36.6297,127.921,2017-01-01,2017,Q1,전출률,14.6
충청남도,36.6353,126.7404,2017-01-01,2017,Q1,전출률,15.7
전북특별자치도,35.8175,127.14,2017-01-01,2017,Q1,전출률,15.9
전라남도,34.8006,126.2994,2017-01-01,2017,Q1,전출률,15.0
경상북도,36.1584,128.7364,2017-01-01,2017,Q1,전출률,13.8
경상남도,35.2354,128.6922,2017-01-01,2017,Q1,전출률,14.1
